!amt_annotation_ids,!amt_worker_ids,orig_id,response,gold,start,end,event1,event2,text
1Z0ZWAY8NYBZJWY7FX302YKE055D9GPWYZ0PBZ40,A2HTGQE4AACVRV,42_0,before,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1Z0ZWAY8NYBZJWY7FX30PRAZNZYKT9ZZ7KC9Z3AZ,AYHHOK9GDSWNH,42_0,before,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1Z0ZWAY8NYBZJWY7FX30G0PZ28ZQ106ZGBYHSY8Z,A1QRQZWBL1SVEX,42_0,before,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1Z0ZWAY8NYBZJWY7FX30BY0PNWYK0S2ZSADRYXP0,A3G0MGLBT484I1,42_0,before,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1Z0ZWAY8NYBZJWY7FX30HHZZVJ45HJC2T1ZWTZ20,A7NC1H5ZK7TO0,42_0,before,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1Z0ZWAY8NYBZJWY7FX30W3PZK11BE3KE6AG48WK0,A3MPXWFMR0Y2LK,42_0,before,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1Z0ZWAY8NYBZJWY7FX307WCRMFZXF16EGQYBM86Z,A11GX90QFWDLMM,42_0,after,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1Z0ZWAY8NYBZJWY7FX30PYMZ3HM7BTTEWCZ5QAN0,A3PIXX8DQGYHGI,42_0,after,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1Z0ZWAY8NYBZJWY7FX30NZ2ZY9W7RZKZXT1T0H2Z,A2KONK3TIL5KVX,42_0,before,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1Z0ZWAY8NYBZJWY7FX301BEZZ7YX1H4ZNYYQWZ7Z,A18941IO2ZZWW6,42_0,after,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
QXHPYT4ZKJNPMAGHTXWZ3XZYSAWABVFYMCYXEWM0,A5C6BAAHFTJFP,11_1,before,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,"<font color=""blue"">fell</font>","<font color=""orange"">reflect</font>","<p>Aetna Life amp Casualty Co.'s third-quarter net income <b><u><font color=""blue"">fell</font></u></b> 22%: to $182.6 million, or $1.63 a share, reflecting the damages from Hurricane Hugo and lower results for some of the company's major divisions. <br></br>Catastrophe losses <b><u><font color=""green"">reduced</font></u></b> Aetna's net income by $50 million, including $36 million from Hugo. <br></br>Last year catastrophe losses totaled $5 million, when net was $235.5 million, or $2.07 a share. <br></br>The year-earlier results have been restated to <b><u><font color=""orange"">reflect</font></u></b> an accounting change. <br></br>The insurer has <b><u><font color=""red"">started</font></u></b> processing claims from the Northern California earthquake nearly two weeks ago. <br></br>But because these claims are more difficult to evaluate and have been <b><u><font color=""purple"">coming</font></u></b> in more slowly, the company <b><u><font color=""brown"">has</font></u></b> no estimate of the impact of the earthquake on fourth-quarter results. <br></br>In New York Stock Exchange composite trading Friday, Aetna closed at $60, down 50 cents. <br></br>In the latest quarter, Aetna had a $23 million loss on its auto\/homeowners line, compared with earnings of $33 million last year. <br></br>Profit for its commercial insurance division fell 30%: to $59 million, reflecting higher catastrophe losses and the price war in the property\/casualty market for nearly three years. <br></br>However, Aetna's employee benefits division, which includes its group health insurance operations, posted a 34%: profit gain to $106 million. <br></br>Third-quarter results included net realized capital gains of $48 million, which included $27 million from the sale of Federated Investors in August and a $15 million tax credit. <br></br>In the nine months, net rose 4.3%: to $525.8 million or $4.67 a share, from $504.2 million, or $4.41 a share, last year. <br></br></p>"
